Time Step,Simulation,0,2,4,6,8,10,12,14,16,18,20,22
0,0.6192486870171476,0.5992486870171476,0.5892486870171476,0.6092486870171476,0.6092486870171476,0.6092486870171476,0.6192486870171476,0.6192486870171476,0.6192486870171476,0.6192486870171476,0.6092486870171476,0.6092486870171476,0.6192486870171476
1,0.7745782100606029,0.7745782100606029,0.7745782100606029,0.7845782100606029,0.7845782100606029,0.8045782100606029,0.7895782100606029,0.7695782100606029,0.7595782100606029,0.7695782100606029,0.7795782100606029,0.7695782100606029,0.7695782100606029
2,0.7442464599295366,0.7442464599295366,0.7442464599295366,0.7542464599295367,0.7442464599295366,0.7542464599295367,0.7542464599295367,0.7542464599295367,0.7642464599295367,0.7742464599295367,0.7842464599295367,0.7842464599295367,0.7842464599295367
3,0.7101094142955406,0.7101094142955406,0.6901094142955406,0.6901094142955406,0.6901094142955406,0.7001094142955406,0.6901094142955406,0.6901094142955406,0.6801094142955406,0.7001094142955406,0.6901094142955406,0.6901094142955406,0.6801094142955406
4,0.7097806341777889,0.7097806341777889,0.7097806341777889,0.7097806341777889,0.7197806341777889,0.7297806341777889,0.7197806341777889,0.7397806341777889,0.7197806341777889,0.7197806341777889,0.7197806341777889,0.7197806341777889,0.6997806341777889
5,0.6119419798761941,0.6119419798761941,0.6119419798761941,0.6119419798761941,0.6119419798761941,0.6119419798761941,0.6219419798761942,0.6219419798761942,0.6319419798761942,0.6219419798761942,0.6119419798761941,0.6119419798761941,0.5819419798761941
6,0.6811749110564218,0.6611749110564218,0.6861749110564218,0.7061749110564218,0.6961749110564218,0.6961749110564218,0.6961749110564218,0.6861749110564218,0.6761749110564218,0.6861749110564218,0.6761749110564218,0.6761749110564218,0.6861749110564218
7,0.6870017814347686,0.6970017814347687,0.6970017814347687,0.7170017814347687,0.7170017814347687,0.7270017814347687,0.7220017814347687,0.7120017814347687,0.7120017814347687,0.7020017814347687,0.6820017814347686,0.6720017814347686,0.6720017814347686
8,0.7198478621264892,0.7298478621264892,0.7298478621264892,0.7398478621264892,0.7498478621264892,0.7598478621264892,0.7598478621264892,0.7498478621264892,0.7398478621264892,0.7298478621264892,0.7398478621264892,0.7398478621264892,0.7498478621264892
9,0.7092011208618002,0.7092011208618002,0.6992011208618002,0.6992011208618002,0.7092011208618002,0.7192011208618002,0.7192011208618002,0.7292011208618002,0.7292011208618002,0.7292011208618002,0.7042011208618002,0.7042011208618002,0.7142011208618002
