Time Step,Simulation,0,2,4,6,8,10,12,14,16,18,20,22
0,0.8684888048024935,0.8884888048024935,0.8984888048024935,0.9084888048024935,0.9084888048024935,0.8984888048024935,0.9084888048024935,0.9034888048024935,0.9034888048024935,0.8934888048024935,0.8734888048024935,0.8734888048024935,0.8934888048024935
1,0.8650094870364449,0.8650094870364449,0.8650094870364449,0.8550094870364449,0.8650094870364449,0.8550094870364449,0.8750094870364449,0.8750094870364449,0.8650094870364449,0.8650094870364449,0.8850094870364449,0.8950094870364449,0.8750094870364449
2,0.8887159789166376,0.8987159789166376,0.8987159789166376,0.8887159789166376,0.8887159789166376,0.8987159789166376,0.8987159789166376,0.8987159789166376,0.9087159789166376,0.9187159789166376,0.9287159789166376,0.9187159789166376,0.9087159789166376
3,0.8480090824902388,0.8480090824902388,0.8080090824902387,0.8180090824902387,0.8280090824902387,0.8380090824902388,0.8280090824902387,0.8380090824902388,0.8380090824902388,0.8280090824902387,0.8280090824902387,0.8180090824902387,0.8180090824902387
4,0.8594108007682504,0.8494108007682504,0.8294108007682504,0.8294108007682504,0.8444108007682504,0.8244108007682504,0.8244108007682504,0.8444108007682504,0.8544108007682504,0.8444108007682504,0.8644108007682504,0.8744108007682504,0.8744108007682504
5,0.8304488304578692,0.8304488304578692,0.8404488304578692,0.8404488304578692,0.8104488304578692,0.8004488304578692,0.8204488304578692,0.8204488304578692,0.7904488304578692,0.7904488304578692,0.8004488304578692,0.8304488304578692,0.8304488304578692
6,0.8497174859766823,0.8397174859766823,0.8397174859766823,0.8297174859766823,0.8297174859766823,0.8497174859766823,0.8597174859766823,0.8397174859766823,0.8197174859766823,0.8297174859766823,0.8397174859766823,0.8097174859766822,0.8397174859766823
7,0.7693428508042445,0.7693428508042445,0.7693428508042445,0.7693428508042445,0.7693428508042445,0.7893428508042445,0.8093428508042445,0.8043428508042445,0.8043428508042445,0.8043428508042445,0.7943428508042445,0.7943428508042445,0.8043428508042445
8,0.896689446760083,0.876689446760083,0.866689446760083,0.866689446760083,0.866689446760083,0.866689446760083,0.856689446760083,0.856689446760083,0.866689446760083,0.876689446760083,0.876689446760083,0.876689446760083,0.866689446760083
9,0.857210594757696,0.857210594757696,0.857210594757696,0.857210594757696,0.867210594757696,0.857210594757696,0.867210594757696,0.867210594757696,0.857210594757696,0.887210594757696,0.872210594757696,0.882210594757696,0.882210594757696
10,0.8273944350930075,0.8373944350930075,0.8373944350930075,0.8573944350930075,0.8573944350930075,0.8473944350930075,0.8173944350930075,0.8173944350930075,0.8373944350930075,0.8573944350930075,0.8473944350930075,0.8473944350930075,0.8473944350930075
11,0.8610226537848176,0.8610226537848176,0.8610226537848176,0.8610226537848176,0.8610226537848176,0.8610226537848176,0.8610226537848176,0.8510226537848176,0.8410226537848176,0.8310226537848175,0.8210226537848175,0.8260226537848175,0.8260226537848175
12,0.7880595355316556,0.7980595355316557,0.7880595355316556,0.7880595355316556,0.7880595355316556,0.7980595355316557,0.7980595355316557,0.7980595355316557,0.7980595355316557,0.8080595355316557,0.8080595355316557,0.7980595355316557,0.7880595355316556
13,0.8952970259367233,0.8952970259367233,0.8952970259367233,0.8952970259367233,0.9052970259367233,0.9052970259367233,0.9152970259367234,0.9252970259367234,0.9352970259367234,0.9302970259367234,0.9202970259367234,0.9202970259367234,0.9102970259367233
14,0.8799358382405875,0.8699358382405875,0.8699358382405875,0.8699358382405875,0.8799358382405875,0.8899358382405875,0.8999358382405875,0.8699358382405875,0.8699358382405875,0.8799358382405875,0.8799358382405875,0.8899358382405875,0.8899358382405875
15,0.8473581428290647,0.8473581428290647,0.8373581428290647,0.8273581428290647,0.8273581428290647,0.8273581428290647,0.8273581428290647,0.8073581428290647,0.8073581428290647,0.8273581428290647,0.8273581428290647,0.8273581428290647,0.8273581428290647
16,0.8472450006513612,0.8472450006513612,0.8472450006513612,0.8572450006513612,0.8472450006513612,0.8472450006513612,0.8472450006513612,0.8372450006513612,0.8172450006513612,0.8172450006513612,0.8172450006513612,0.8272450006513612,0.8472450006513612
17,0.9040286277110074,0.9040286277110074,0.8740286277110074,0.8740286277110074,0.8740286277110074,0.8740286277110074,0.8740286277110074,0.8740286277110074,0.8640286277110074,0.8640286277110074,0.8640286277110074,0.8690286277110074,0.8790286277110074
18,0.8554294674020454,0.8554294674020454,0.8454294674020454,0.8354294674020454,0.8354294674020454,0.8254294674020454,0.8254294674020454,0.8254294674020454,0.8354294674020454,0.8354294674020454,0.8354294674020454,0.8354294674020454,0.8554294674020454
19,0.8206608498286547,0.8206608498286547,0.8006608498286547,0.8006608498286547,0.8006608498286547,0.8106608498286547,0.8106608498286547,0.8206608498286547,0.8206608498286547,0.8006608498286547,0.8106608498286547,0.8106608498286547,0.8106608498286547
20,0.8610107892258995,0.8610107892258995,0.8710107892258995,0.8910107892258995,0.8710107892258995,0.8610107892258995,0.8710107892258995,0.8810107892258995,0.8810107892258995,0.8810107892258995,0.8610107892258995,0.8510107892258995,0.8810107892258995
21,0.8965679870105625,0.8965679870105625,0.8865679870105625,0.8665679870105625,0.8765679870105625,0.8665679870105625,0.8815679870105625,0.8715679870105625,0.8715679870105625,0.8815679870105625,0.8915679870105625,0.8915679870105625,0.8915679870105625
22,0.9235861656119891,0.9235861656119891,0.9235861656119891,0.8935861656119891,0.8835861656119891,0.8835861656119891,0.8885861656119891,0.8885861656119891,0.8885861656119891,0.8885861656119891,0.8885861656119891,0.8885861656119891,0.8985861656119891
23,0.8803745206392217,0.8903745206392217,0.8603745206392217,0.8603745206392217,0.8703745206392217,0.8703745206392217,0.8603745206392217,0.8503745206392217,0.8503745206392217,0.8503745206392217,0.8503745206392217,0.8503745206392217,0.8403745206392217
24,0.8719266359043075,0.8719266359043075,0.8819266359043075,0.8619266359043075,0.8519266359043075,0.8519266359043075,0.8519266359043075,0.8619266359043075,0.8719266359043075,0.8819266359043075,0.8819266359043075,0.8919266359043075,0.8919266359043075
25,0.8060494140837474,0.8060494140837474,0.8060494140837474,0.8060494140837474,0.7760494140837474,0.7910494140837474,0.8010494140837474,0.7910494140837474,0.8010494140837474,0.8010494140837474,0.8110494140837474,0.8110494140837474,0.7910494140837474
26,0.7774851261250673,0.7974851261250673,0.7974851261250673,0.7974851261250673,0.7974851261250673,0.7774851261250673,0.7674851261250673,0.7674851261250673,0.7674851261250673,0.7474851261250672,0.7374851261250672,0.7374851261250672,0.7424851261250672
27,0.8081488257655507,0.8081488257655507,0.8181488257655507,0.8081488257655507,0.7981488257655507,0.7981488257655507,0.7981488257655507,0.7981488257655507,0.7981488257655507,0.7881488257655507,0.7881488257655507,0.7881488257655507,0.7881488257655507
28,0.9084483247738908,0.9084483247738908,0.9284483247738908,0.9034483247738908,0.9034483247738908,0.8834483247738908,0.8934483247738908,0.9034483247738908,0.9134483247738908,0.9134483247738908,0.9034483247738908,0.9034483247738908,0.8734483247738908
