Time Step,Simulation,0,2,4,6,8,10,12,14,16,18,20,22
0,0.8844328227371364,0.8944328227371364,0.8744328227371364,0.8744328227371364,0.8744328227371364,0.8544328227371364,0.8444328227371364,0.8444328227371364,0.8444328227371364,0.8494328227371364,0.8594328227371364,0.8594328227371364,0.8694328227371364
1,0.8807059091186528,0.8807059091186528,0.9007059091186528,0.8907059091186528,0.9107059091186528,0.9107059091186528,0.9207059091186528,0.9207059091186528,0.9007059091186528,0.8907059091186528,0.8907059091186528,0.8907059091186528,0.9007059091186528
2,0.9120367483723881,0.9320367483723881,0.9320367483723881,0.9320367483723881,0.9120367483723881,0.9120367483723881,0.9120367483723881,0.9120367483723881,0.9220367483723881,0.9020367483723881,0.9020367483723881,0.9020367483723881,0.9220367483723881
3,0.9369898573268982,0.9369898573268982,0.9469898573268982,0.9469898573268982,0.9369898573268982,0.9469898573268982,0.9369898573268982,0.9369898573268982,0.9269898573268982,0.9169898573268982,0.9269898573268982,0.9369898573268982,0.9469898573268982
4,0.8988137283324736,0.8788137283324736,0.8588137283324736,0.8588137283324736,0.8638137283324736,0.8638137283324736,0.8638137283324736,0.8838137283324736,0.8938137283324736,0.8938137283324736,0.8738137283324736,0.8638137283324736,0.8738137283324736
5,0.9014228129183519,0.9014228129183519,0.9014228129183519,0.8914228129183519,0.9014228129183519,0.8914228129183519,0.8914228129183519,0.8814228129183519,0.8814228129183519,0.8914228129183519,0.8814228129183519,0.8914228129183519,0.8914228129183519
6,0.8715411526351299,0.8715411526351299,0.8615411526351299,0.8615411526351299,0.8515411526351299,0.8415411526351299,0.8615411526351299,0.8615411526351299,0.8515411526351299,0.8415411526351299,0.8415411526351299,0.8315411526351298,0.8415411526351299
7,0.8696282214126569,0.8696282214126569,0.8596282214126569,0.8396282214126569,0.8396282214126569,0.8396282214126569,0.8496282214126569,0.8496282214126569,0.8596282214126569,0.879628221412657,0.8596282214126569,0.8396282214126569,0.8546282214126569
8,0.8916023300256267,0.8916023300256267,0.8916023300256267,0.8916023300256267,0.8916023300256267,0.8716023300256267,0.8716023300256267,0.8716023300256267,0.8716023300256267,0.8916023300256267,0.8916023300256267,0.8716023300256267,0.8916023300256267
9,0.950152491321516,0.940152491321516,0.920152491321516,0.940152491321516,0.920152491321516,0.935152491321516,0.935152491321516,0.935152491321516,0.925152491321516,0.925152491321516,0.925152491321516,0.925152491321516,0.935152491321516
