Time Step,Simulation,0,2,4,6,8,10,12,14,16,18,20,22
0,0.5715355759930425,0.6015355759930425,0.6015355759930425,0.6015355759930425,0.5865355759930425,0.5865355759930425,0.5865355759930425,0.5865355759930425,0.5865355759930425,0.5965355759930425,0.5965355759930425,0.6065355759930425,0.6065355759930425
1,0.8262702444161079,0.8262702444161079,0.8262702444161079,0.8162702444161078,0.8162702444161078,0.8162702444161078,0.8162702444161078,0.8062702444161078,0.8262702444161079,0.8262702444161079,0.8262702444161079,0.8062702444161078,0.7962702444161078
2,1.0,0.98,1.0,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.965,0.965
3,0.7472212588177917,0.7472212588177917,0.7472212588177917,0.7572212588177917,0.7772212588177917,0.7572212588177917,0.7672212588177917,0.7672212588177917,0.7672212588177917,0.7772212588177917,0.7572212588177917,0.7772212588177917,0.7622212588177917
4,0.8591394635981424,0.8391394635981424,0.8291394635981424,0.8291394635981424,0.8491394635981424,0.8491394635981424,0.8391394635981424,0.8391394635981424,0.8491394635981424,0.8591394635981424,0.8691394635981424,0.8691394635981424,0.8691394635981424
5,0.7919590623151125,0.7919590623151125,0.7919590623151125,0.8019590623151125,0.8019590623151125,0.7919590623151125,0.7819590623151125,0.7919590623151125,0.7919590623151125,0.7919590623151125,0.7919590623151125,0.7819590623151125,0.8019590623151125
6,0.8586035310813254,0.8786035310813254,0.8536035310813254,0.8536035310813254,0.8536035310813254,0.8636035310813254,0.8936035310813254,0.8836035310813254,0.8936035310813254,0.8936035310813254,0.8836035310813254,0.8836035310813254,0.8836035310813254
7,0.6173065127225299,0.6273065127225299,0.6373065127225299,0.6373065127225299,0.6373065127225299,0.6373065127225299,0.6373065127225299,0.6273065127225299,0.6173065127225299,0.6073065127225299,0.6173065127225299,0.6273065127225299,0.6273065127225299
8,0.8652875409342305,0.8652875409342305,0.8752875409342306,0.8752875409342306,0.8652875409342305,0.8652875409342305,0.8652875409342305,0.8652875409342305,0.8752875409342306,0.8752875409342306,0.8652875409342305,0.8552875409342305,0.8552875409342305
9,0.7813678025372015,0.7813678025372015,0.7613678025372015,0.7613678025372015,0.7713678025372015,0.7613678025372015,0.7613678025372015,0.7713678025372015,0.7513678025372015,0.7513678025372015,0.7613678025372015,0.7613678025372015,0.7613678025372015
10,0.7205006117129505,0.7205006117129505,0.7305006117129506,0.7305006117129506,0.7305006117129506,0.7405006117129506,0.7405006117129506,0.7405006117129506,0.7205006117129505,0.7105006117129505,0.7105006117129505,0.7505006117129506,0.7355006117129506
11,0.7876982658288149,0.7876982658288149,0.7776982658288148,0.7776982658288148,0.7776982658288148,0.7676982658288148,0.7676982658288148,0.7676982658288148,0.7676982658288148,0.7576982658288148,0.7776982658288148,0.7776982658288148,0.7776982658288148
12,0.8751971681494718,0.8751971681494718,0.8651971681494718,0.8751971681494718,0.8751971681494718,0.8751971681494718,0.8851971681494718,0.8651971681494718,0.8751971681494718,0.8951971681494718,0.8951971681494718,0.8751971681494718,0.8751971681494718
13,0.812641876450364,0.812641876450364,0.822641876450364,0.822641876450364,0.822641876450364,0.832641876450364,0.832641876450364,0.812641876450364,0.812641876450364,0.842641876450364,0.832641876450364,0.832641876450364,0.822641876450364
14,0.726191905077697,0.726191905077697,0.736191905077697,0.726191905077697,0.726191905077697,0.726191905077697,0.726191905077697,0.736191905077697,0.7561919050776971,0.7561919050776971,0.7661919050776971,0.7611919050776971,0.7511919050776971
15,0.8698961370926405,0.8898961370926405,0.9098961370926405,0.9098961370926405,0.9098961370926405,0.9098961370926405,0.9098961370926405,0.9098961370926405,0.9098961370926405,0.9098961370926405,0.9098961370926405,0.9098961370926405,0.8998961370926405
16,0.843542182371955,0.833542182371955,0.833542182371955,0.833542182371955,0.833542182371955,0.833542182371955,0.833542182371955,0.833542182371955,0.833542182371955,0.823542182371955,0.813542182371955,0.813542182371955,0.813542182371955
17,0.5508752192150433,0.5508752192150433,0.5408752192150433,0.5608752192150434,0.5608752192150434,0.5408752192150433,0.5408752192150433,0.5508752192150433,0.5508752192150433,0.5508752192150433,0.5408752192150433,0.5408752192150433,0.5508752192150433
18,0.8204657375461304,0.8204657375461304,0.8204657375461304,0.8104657375461304,0.8004657375461304,0.8254657375461304,0.8154657375461304,0.8254657375461304,0.8254657375461304,0.8354657375461304,0.8454657375461304,0.8454657375461304,0.8254657375461304
19,0.7589191688052195,0.7689191688052195,0.7589191688052195,0.7489191688052195,0.7589191688052195,0.7589191688052195,0.7589191688052195,0.7689191688052195,0.7689191688052195,0.7689191688052195,0.7689191688052195,0.7689191688052195,0.7689191688052195
20,0.8626345987675069,0.8726345987675069,0.8726345987675069,0.8726345987675069,0.8626345987675069,0.8626345987675069,0.8626345987675069,0.8526345987675069,0.8326345987675069,0.8326345987675069,0.8426345987675069,0.8426345987675069,0.8226345987675069
21,0.8989898408421536,0.8889898408421536,0.8889898408421536,0.8989898408421536,0.8889898408421536,0.8989898408421536,0.9089898408421536,0.8989898408421536,0.8989898408421536,0.9089898408421536,0.9089898408421536,0.8989898408421536,0.8989898408421536
22,0.9011675332495241,0.9011675332495241,0.9011675332495241,0.9011675332495241,0.9011675332495241,0.9011675332495241,0.8811675332495241,0.8911675332495241,0.8911675332495241,0.8911675332495241,0.8811675332495241,0.8811675332495241,0.8711675332495241
23,0.7907432634810083,0.7807432634810083,0.7807432634810083,0.7907432634810083,0.7907432634810083,0.7907432634810083,0.7707432634810083,0.7707432634810083,0.7707432634810083,0.7707432634810083,0.7607432634810083,0.7707432634810083,0.7707432634810083
