postal_district,hospital,distance_km
01,Alexandra Hospital,6.128172263352386
01,Changi General Hospital,12.31938683000217
01,Jurong Community Hospital,13.647229091164613
01,Khoo Teck Puat Hospital,16.233907538223942
01,Ng Teng Fong General Hospital,13.646893108857272
01,National University Hospital,8.435406630215267
01,Sengkang General Hospital,13.02154853000008
01,Singapore General Hospital,2.5430045862028194
01,Tan Tock Seng Hospital,4.84494709661645
01,Woodlands Health,17.609359405716823
02,Alexandra Hospital,8.27241599210479
02,Changi General Hospital,9.898338905131064
02,Jurong Community Hospital,15.329930316656357
02,Khoo Teck Puat Hospital,15.668164772082898
02,Ng Teng Fong General Hospital,15.326514017337404
02,National University Hospital,10.501572755054376
02,Sengkang General Hospital,11.501757143062598
02,Singapore General Hospital,4.919834975630918
02,Tan Tock Seng Hospital,5.083076559806141
02,Woodlands Health,17.717275885578186
03,Alexandra Hospital,6.227305673389078
03,Changi General Hospital,11.393296605509857
03,Jurong Community Hospital,13.230506364642979
03,Khoo Teck Puat Hospital,14.776059631340896
03,Ng Teng Fong General Hospital,13.227500943507453
03,National University Hospital,8.41724508933987
03,Sengkang General Hospital,11.547249473200546
03,Singapore General Hospital,3.1782955124092367
03,Tan Tock Seng Hospital,3.501301973677271
03,Woodlands Health,16.3214455243573
04,Alexandra Hospital,5.169299044688322
04,Changi General Hospital,12.691874216256723
04,Jurong Community Hospital,12.547245451835204
04,Khoo Teck Puat Hospital,15.432910167352548
04,Ng Teng Fong General Hospital,12.54639125077605
04,National University Hospital,7.4402624406874045
04,Sengkang General Hospital,12.651519865400013
04,Singapore General Hospital,1.876640243217667
04,Tan Tock Seng Hospital,3.9694926256394236
04,Woodlands Health,16.612456727210162
05,Alexandra Hospital,4.71378169547246
05,Changi General Hospital,13.182700800052594
05,Jurong Community Hospital,12.191351909092447
05,Khoo Teck Puat Hospital,15.567156404114193
05,Ng Teng Fong General Hospital,12.191199030199968
05,National University Hospital,7.002377585561429
05,Sengkang General Hospital,12.98763175583343
05,Singapore General Hospital,1.3862803906341814
05,Tan Tock Seng Hospital,4.107203006415994
05,Woodlands Health,16.598822715552522
06,Alexandra Hospital,4.972752299304279
06,Changi General Hospital,13.202479249669668
06,Jurong Community Hospital,12.55234404866984
06,Khoo Teck Puat Hospital,15.973338486056692
06,Ng Teng Fong General Hospital,12.552716235222018
06,National University Hospital,7.283470160734551
06,Sengkang General Hospital,13.270248198914143
06,Singapore General Hospital,1.4280820236458354
06,Tan Tock Seng Hospital,4.5070882886307295
06,Woodlands Health,17.04104801728484
07,Alexandra Hospital,4.816172315094875
07,Changi General Hospital,13.651626080895186
07,Jurong Community Hospital,12.52921283437792
07,Khoo Teck Puat Hospital,16.39397488544452
07,Ng Teng Fong General Hospital,12.53058710365078
07,National University Hospital,7.143411625007229
07,Sengkang General Hospital,13.771534376476023
07,Singapore General Hospital,1.1358931164950548
07,Tan Tock Seng Hospital,4.937766568174821
07,Woodlands Health,17.363490764415427
08,Alexandra Hospital,4.44001334486334
08,Changi General Hospital,13.872254774259108
08,Jurong Community Hospital,12.152110812328399
08,Khoo Teck Puat Hospital,16.23391142624054
08,Ng Teng Fong General Hospital,12.153571820837314
08,National University Hospital,6.7662901131069
08,Sengkang General Hospital,13.774400307130943
08,Singapore General Hospital,0.7823063553658263
08,Tan Tock Seng Hospital,4.8061809370487545
08,Woodlands Health,17.11189638065441
09,Alexandra Hospital,4.689878327026545
09,Changi General Hospital,16.29335295663779
09,Jurong Community Hospital,12.551905500551335
09,Khoo Teck Puat Hospital,18.699966907369635
09,Ng Teng Fong General Hospital,12.558788961338104
09,National University Hospital,6.789831778870255
09,Sengkang General Hospital,16.53496946797067
09,Singapore General Hospital,2.461037282224146
09,Tan Tock Seng Hospital,7.431956277993057
09,Woodlands Health,19.144840775617034
10,Alexandra Hospital,1.4354877481482977
10,Changi General Hospital,17.17592651902835
10,Jurong Community Hospital,9.240129287000185
10,Khoo Teck Puat Hospital,16.692799833118244
10,Ng Teng Fong General Hospital,9.246734416301557
10,National University Hospital,3.493646239136252
10,Sengkang General Hospital,15.747178660788006
10,Singapore General Hospital,2.8800375213452054
10,Tan Tock Seng Hospital,6.386614725667108
10,Woodlands Health,16.489653689519617
11,Alexandra Hospital,2.095373227643015
11,Changi General Hospital,19.349274426191275
11,Jurong Community Hospital,6.8751917642919365
11,Khoo Teck Puat Hospital,16.715631289551396
11,Ng Teng Fong General Hospital,6.885905359869453
11,National University Hospital,1.3196295689359165
11,Sengkang General Hospital,16.914823247512857
11,Singapore General Hospital,5.564702161161513
11,Tan Tock Seng Hospital,7.912413238054952
11,Woodlands Health,15.701237706343836
12,Alexandra Hospital,5.4142790692951435
12,Changi General Hospital,21.221171730064537
12,Jurong Community Hospital,2.7202638721450696
12,Khoo Teck Puat Hospital,15.192154217967612
12,Ng Teng Fong General Hospital,2.732595800751509
12,National University Hospital,3.142788065952731
12,Sengkang General Hospital,17.132416795436335
12,Singapore General Hospital,9.085364730290173
12,Tan Tock Seng Hospital,9.501075645029832
12,Woodlands Health,13.068281795908838
13,Alexandra Hospital,2.483449117055656
13,Changi General Hospital,18.71553226673182
13,Jurong Community Hospital,5.449068034838688
13,Khoo Teck Puat Hospital,14.79467639957634
13,Ng Teng Fong General Hospital,5.454102180500025
13,National University Hospital,0.7816327238461229
13,Sengkang General Hospital,15.495854030824258
13,Singapore General Hospital,6.110071491505987
13,Tan Tock Seng Hospital,7.001722659348437
13,Woodlands Health,13.64802844338979
14,Alexandra Hospital,0.867569858483122
14,Changi General Hospital,16.930688381042618
14,Jurong Community Hospital,7.480387785229295
14,Khoo Teck Puat Hospital,14.724189074997769
14,Ng Teng Fong General Hospital,7.482969690973196
14,National University Hospital,2.2600748677310674
14,Sengkang General Hospital,14.452642397237124
14,Singapore General Hospital,4.020004111008001
14,Tan Tock Seng Hospital,5.402695297789081
14,Woodlands Health,14.29085672085425
15,Alexandra Hospital,1.28265654046921
15,Changi General Hospital,16.143823264058494
15,Jurong Community Hospital,9.07150064881355
15,Khoo Teck Puat Hospital,15.486167486854827
15,Ng Teng Fong General Hospital,9.074732569952612
15,National University Hospital,3.5979915971911796
15,Sengkang General Hospital,14.475269909243941
15,Singapore General Hospital,2.453998157366619
15,Tan Tock Seng Hospital,5.128257950638652
15,Woodlands Health,15.469530454887796
16,Alexandra Hospital,3.2360844334610173
16,Changi General Hospital,14.537244797231914
16,Jurong Community Hospital,10.893227217205876
16,Khoo Teck Puat Hospital,15.62637284776642
16,Ng Teng Fong General Hospital,10.894695683429166
16,National University Hospital,5.547529410446511
16,Sengkang General Hospital,13.716428714570037
16,Singapore General Hospital,0.730182349500276
16,Tan Tock Seng Hospital,4.431191674465274
16,Woodlands Health,16.205608637664746
17,Alexandra Hospital,5.177535660004914
17,Changi General Hospital,12.3476648624446
17,Jurong Community Hospital,12.264747586043415
17,Khoo Teck Puat Hospital,14.703546138716815
17,Ng Teng Fong General Hospital,12.262544248283312
17,National University Hospital,7.371323270414891
17,Sengkang General Hospital,11.97718270348527
17,Singapore General Hospital,2.3139773060456617
17,Tan Tock Seng Hospital,3.2438457278404345
17,Woodlands Health,15.93521768087016
18,Alexandra Hospital,5.8709639561592715
18,Changi General Hospital,11.47590606327634
18,Jurong Community Hospital,12.549303270875397
18,Khoo Teck Puat Hospital,13.958203531030783
18,Ng Teng Fong General Hospital,12.545199819777048
18,National University Hospital,7.957543968476681
18,Sengkang General Hospital,11.003133619844604
18,Singapore General Hospital,3.300661523717473
18,Tan Tock Seng Hospital,2.616042931473376
18,Woodlands Health,15.433766840199455
19,Alexandra Hospital,6.526254070312576
19,Changi General Hospital,10.802509787930875
19,Jurong Community Hospital,13.049295919980988
19,Khoo Teck Puat Hospital,13.754762885898018
19,Ng Teng Fong General Hospital,13.044328897626329
19,National University Hospital,8.582166983738183
19,Sengkang General Hospital,10.504881317602655
19,Singapore General Hospital,3.9371838397617513
19,Tan Tock Seng Hospital,2.668970801388195
19,Woodlands Health,15.442803411346048
20,Alexandra Hospital,6.346532645815935
20,Changi General Hospital,10.914302022870295
20,Jurong Community Hospital,12.508018695986813
20,Khoo Teck Puat Hospital,13.021494187116113
20,Ng Teng Fong General Hospital,12.50197773895705
20,National University Hospital,8.281118026501192
20,Sengkang General Hospital,10.022366260656028
20,Singapore General Hospital,4.191918080636133
20,Tan Tock Seng Hospital,1.8958829756208568
20,Woodlands Health,14.659549326284719
21,Alexandra Hospital,6.106821977799311
21,Changi General Hospital,11.196338094907462
21,Jurong Community Hospital,11.992576518279524
21,Khoo Teck Puat Hospital,12.538961826850743
21,Ng Teng Fong General Hospital,11.985891132830508
21,National University Hospital,7.937863008515921
21,Sengkang General Hospital,9.82540112618032
21,Singapore General Hospital,4.322898193319202
21,Tan Tock Seng Hospital,1.2872693749177084
21,Woodlands Health,14.078286242182886
22,Alexandra Hospital,4.6847365424953065
22,Changi General Hospital,12.595196524236709
22,Jurong Community Hospital,10.930737546773106
22,Khoo Teck Puat Hospital,13.130559177382935
22,Ng Teng Fong General Hospital,10.926063091685704
22,National University Hospital,6.573037104525062
22,Sengkang General Hospital,11.032449595884001
22,Singapore General Hospital,3.2319429179516073
22,Tan Tock Seng Hospital,1.7401350727065783
22,Woodlands Health,14.183043422658407
23,Alexandra Hospital,4.111344741869762
23,Changi General Hospital,13.18187226064481
23,Jurong Community Hospital,10.973211873335266
23,Khoo Teck Puat Hospital,14.090311540757233
23,Ng Teng Fong General Hospital,10.970782566541924
23,National University Hospital,6.199621294326206
23,Sengkang General Hospital,12.000021299153339
23,Singapore General Hospital,2.232114812891152
23,Tan Tock Seng Hospital,2.740776658628033
23,Woodlands Health,14.99075686237969
24,Alexandra Hospital,2.3109781219984913
24,Changi General Hospital,14.999309014952896
24,Jurong Community Hospital,9.026206876410882
24,Khoo Teck Puat Hospital,14.01172929871222
24,Ng Teng Fong General Hospital,9.025184306405663
24,National University Hospital,4.203333030094291
24,Sengkang General Hospital,12.948302718764237
24,Singapore General Hospital,2.8389976284885634
24,Tan Tock Seng Hospital,3.6493280875738594
24,Woodlands Health,14.235706125532188
25,Alexandra Hospital,3.507145229622679
25,Changi General Hospital,14.55687391632069
25,Jurong Community Hospital,8.474669614016406
25,Khoo Teck Puat Hospital,12.327170880751263
25,Ng Teng Fong General Hospital,8.46910807967717
25,National University Hospital,4.6924812489948
25,Sengkang General Hospital,11.65705324179573
25,Singapore General Hospital,4.3748486735243794
25,Tan Tock Seng Hospital,2.8207726413019643
25,Woodlands Health,12.572604397412153
26,Alexandra Hospital,3.6568782286225487
26,Changi General Hospital,16.73398782976305
26,Jurong Community Hospital,6.031863986249481
26,Khoo Teck Puat Hospital,12.212978692313362
26,Ng Teng Fong General Hospital,6.0255976754219445
26,National University Hospital,3.4162107303126135
26,Sengkang General Hospital,12.910910098319173
26,Singapore General Hospital,6.194339747388093
26,Tan Tock Seng Hospital,5.063152352903797
26,Woodlands Health,11.496880045000177
27,Alexandra Hospital,3.6803158086731846
27,Changi General Hospital,17.98560500350784
27,Jurong Community Hospital,4.933079029166462
27,Khoo Teck Puat Hospital,12.979566812306427
27,Ng Teng Fong General Hospital,4.929575295950291
27,National University Hospital,2.636685774080578
27,Sengkang General Hospital,14.084145368322284
27,Singapore General Hospital,6.806414380607055
27,Tan Tock Seng Hospital,6.289767672201518
27,Woodlands Health,11.811820833424473
28,Alexandra Hospital,4.85914256418896
28,Changi General Hospital,16.043887731715756
28,Jurong Community Hospital,6.476800097716748
28,Khoo Teck Puat Hospital,10.874799970818112
28,Ng Teng Fong General Hospital,6.465808561219285
28,National University Hospital,4.750747856988111
28,Sengkang General Hospital,11.742620679999632
28,Singapore General Hospital,6.894675226961474
28,Tan Tock Seng Hospital,4.658693031793041
28,Woodlands Health,10.33267901421035
29,Alexandra Hospital,4.939820940827898
29,Changi General Hospital,13.983748565445925
29,Jurong Community Hospital,8.60274059332613
29,Khoo Teck Puat Hospital,10.827950408816385
29,Ng Teng Fong General Hospital,8.593030618514481
29,National University Hospital,5.780108950632829
29,Sengkang General Hospital,10.383246944759364
29,Singapore General Hospital,5.687517512333507
29,Tan Tock Seng Hospital,2.4932982618609993
29,Woodlands Health,11.251066673195844
30,Alexandra Hospital,5.438209579568393
30,Changi General Hospital,12.325723508316635
30,Jurong Community Hospital,10.470692832490453
30,Khoo Teck Puat Hospital,11.517412143464547
30,Ng Teng Fong General Hospital,10.462540857277995
30,National University Hospital,6.909711561079977
30,Sengkang General Hospital,9.775669215131826
30,Singapore General Hospital,4.791450414965395
30,Tan Tock Seng Hospital,0.586283749991366
30,Woodlands Health,12.641228489529226
31,Alexandra Hospital,7.495363343423732
31,Changi General Hospital,10.899623338563504
31,Jurong Community Hospital,11.612502626501975
31,Khoo Teck Puat Hospital,9.90110731287788
31,Ng Teng Fong General Hospital,11.60070844304213
31,National University Hospital,8.780953772609214
