Time Step,Simulation,0,2,4,6,8,10,12,14,16,18,20,22
0,0.6389150583671813,0.6189150583671813,0.6189150583671813,0.6189150583671813,0.6189150583671813,0.6089150583671813,0.6089150583671813,0.6089150583671813,0.5989150583671813,0.6089150583671813,0.6089150583671813,0.6239150583671813,0.6139150583671813
1,0.6888451752225706,0.6888451752225706,0.6988451752225706,0.7088451752225706,0.7288451752225706,0.7238451752225706,0.7238451752225706,0.7238451752225706,0.7138451752225706,0.7238451752225706,0.6838451752225706,0.6838451752225706,0.6738451752225706
2,0.7343225104054927,0.7143225104054927,0.7393225104054927,0.7093225104054927,0.7093225104054927,0.6993225104054926,0.6993225104054926,0.7093225104054927,0.6993225104054926,0.7193225104054927,0.7393225104054927,0.7393225104054927,0.7193225104054927
3,0.6136906957448036,0.6136906957448036,0.6436906957448036,0.6436906957448036,0.6436906957448036,0.6436906957448036,0.6536906957448037,0.6486906957448036,0.6486906957448036,0.6286906957448036,0.6286906957448036,0.6486906957448036,0.6386906957448036
4,0.7278505794225898,0.7078505794225898,0.7078505794225898,0.7078505794225898,0.7178505794225898,0.6978505794225898,0.6978505794225898,0.7278505794225898,0.7078505794225898,0.7078505794225898,0.6978505794225898,0.6978505794225898,0.7078505794225898
5,0.7375013924095327,0.7275013924095327,0.7375013924095327,0.7675013924095327,0.7525013924095327,0.7525013924095327,0.7525013924095327,0.7525013924095327,0.7525013924095327,0.7525013924095327,0.7525013924095327,0.7525013924095327,0.7525013924095327
6,0.6377511760042436,0.6577511760042436,0.6577511760042436,0.6577511760042436,0.6577511760042436,0.6577511760042436,0.6327511760042436,0.6427511760042436,0.6427511760042436,0.6327511760042436,0.6227511760042436,0.6227511760042436,0.6427511760042436
7,0.723932161562387,0.733932161562387,0.733932161562387,0.733932161562387,0.733932161562387,0.723932161562387,0.723932161562387,0.693932161562387,0.693932161562387,0.693932161562387,0.708932161562387,0.698932161562387,0.698932161562387
8,0.647305052915606,0.637305052915606,0.637305052915606,0.637305052915606,0.617305052915606,0.637305052915606,0.627305052915606,0.627305052915606,0.627305052915606,0.637305052915606,0.627305052915606,0.617305052915606,0.627305052915606
9,0.6950475166869767,0.6950475166869767,0.6950475166869767,0.6950475166869767,0.6850475166869767,0.6750475166869767,0.6950475166869767,0.6950475166869767,0.6850475166869767,0.6750475166869767,0.6750475166869767,0.6850475166869767,0.6750475166869767
10,0.6738207720909491,0.6738207720909491,0.6638207720909491,0.6738207720909491,0.6838207720909492,0.6838207720909492,0.6838207720909492,0.7138207720909492,0.7138207720909492,0.7138207720909492,0.7088207720909492,0.7088207720909492,0.6988207720909492
11,0.7493108737820369,0.7393108737820369,0.7193108737820368,0.7343108737820369,0.7243108737820368,0.7243108737820368,0.7343108737820369,0.7143108737820368,0.7143108737820368,0.7243108737820368,0.7243108737820368,0.7243108737820368,0.7243108737820368
12,0.6929013633027294,0.6929013633027294,0.6829013633027294,0.6829013633027294,0.6829013633027294,0.6829013633027294,0.6829013633027294,0.6829013633027294,0.6829013633027294,0.6629013633027294,0.6729013633027294,0.6629013633027294,0.6629013633027294
13,0.707056569669237,0.707056569669237,0.717056569669237,0.727056569669237,0.737056569669237,0.727056569669237,0.727056569669237,0.727056569669237,0.7470565696692371,0.7470565696692371,0.727056569669237,0.707056569669237,0.707056569669237
14,0.6486666366263096,0.6586666366263096,0.6686666366263097,0.6886666366263097,0.6686666366263097,0.6386666366263096,0.6386666366263096,0.6386666366263096,0.6286666366263096,0.6286666366263096,0.6186666366263096,0.6186666366263096,0.6286666366263096
15,0.6462686645604259,0.6462686645604259,0.6362686645604259,0.6162686645604258,0.6162686645604258,0.6162686645604258,0.6262686645604258,0.6562686645604259,0.6362686645604259,0.6462686645604259,0.6362686645604259,0.6262686645604258,0.6262686645604258
16,0.6967914587253389,0.7167914587253389,0.7267914587253389,0.7067914587253389,0.7067914587253389,0.7167914587253389,0.7167914587253389,0.7167914587253389,0.7167914587253389,0.7167914587253389,0.7167914587253389,0.7167914587253389,0.7167914587253389
17,0.8066271136695549,0.8166271136695549,0.8266271136695549,0.8266271136695549,0.8266271136695549,0.8166271136695549,0.8366271136695549,0.8166271136695549,0.8166271136695549,0.8166271136695549,0.8166271136695549,0.8466271136695549,0.8466271136695549
18,0.6797299089410722,0.6697299089410722,0.6697299089410722,0.6797299089410722,0.6597299089410722,0.6797299089410722,0.6697299089410722,0.6597299089410722,0.6597299089410722,0.6397299089410722,0.6447299089410722,0.6447299089410722,0.6547299089410722
19,0.674193052774963,0.674193052774963,0.694193052774963,0.704193052774963,0.694193052774963,0.704193052774963,0.704193052774963,0.704193052774963,0.684193052774963,0.664193052774963,0.664193052774963,0.674193052774963,0.674193052774963
20,0.7982457893829604,0.7982457893829604,0.8182457893829604,0.8182457893829604,0.8182457893829604,0.8282457893829605,0.8282457893829605,0.8382457893829605,0.8382457893829605,0.8282457893829605,0.8282457893829605,0.8182457893829604,0.8182457893829604
21,0.6074050725334554,0.6074050725334554,0.6074050725334554,0.5874050725334554,0.5874050725334554,0.5774050725334554,0.5674050725334554,0.5674050725334554,0.5674050725334554,0.5724050725334554,0.5724050725334554,0.5724050725334554,0.5824050725334554
22,0.6219098077325548,0.6119098077325548,0.6119098077325548,0.6019098077325548,0.6269098077325548,0.6269098077325548,0.6269098077325548,0.6269098077325548,0.6369098077325548,0.6269098077325548,0.6369098077325548,0.6169098077325548,0.6369098077325548
23,0.7461457974962619,0.7561457974962619,0.7661457974962619,0.7661457974962619,0.7661457974962619,0.7661457974962619,0.7561457974962619,0.7661457974962619,0.7761457974962619,0.7761457974962619,0.7761457974962619,0.7461457974962619,0.7461457974962619
24,0.68753273386061,0.67753273386061,0.68753273386061,0.67753273386061,0.68753273386061,0.70753273386061,0.71753273386061,0.72753273386061,0.72753273386061,0.72253273386061,0.72253273386061,0.72253273386061,0.71253273386061
25,0.706585275452554,0.716585275452554,0.726585275452554,0.716585275452554,0.716585275452554,0.726585275452554,0.726585275452554,0.716585275452554,0.716585275452554,0.726585275452554,0.736585275452554,0.736585275452554,0.736585275452554
26,0.5948885213575079,0.6048885213575079,0.6248885213575079,0.6248885213575079,0.6048885213575079,0.6148885213575079,0.6048885213575079,0.5948885213575079,0.6048885213575079,0.5948885213575079,0.5848885213575079,0.5848885213575079,0.5848885213575079
27,0.676457902594134,0.666457902594134,0.666457902594134,0.676457902594134,0.676457902594134,0.676457902594134,0.686457902594134,0.686457902594134,0.686457902594134,0.686457902594134,0.686457902594134,0.686457902594134,0.706457902594134
28,0.706707079616346,0.706707079616346,0.696707079616346,0.706707079616346,0.686707079616346,0.686707079616346,0.706707079616346,0.686707079616346,0.686707079616346,0.686707079616346,0.686707079616346,0.666707079616346,0.671707079616346
29,0.70898323201338,0.71898323201338,0.71898323201338,0.73898323201338,0.73898323201338,0.73898323201338,0.74898323201338,0.74898323201338,0.73898323201338,0.72398323201338,0.73398323201338,0.71398323201338,0.69398323201338
30,0.7205579822132862,0.7305579822132862,0.7305579822132862,0.7405579822132862,0.7405579822132862,0.7205579822132862,0.7505579822132862,0.7305579822132862,0.7405579822132862,0.7505579822132862,0.7355579822132862,0.7455579822132862,0.7255579822132862
31,0.6596823773348844,0.6696823773348844,0.6796823773348845,0.6896823773348845,0.6896823773348845,0.6996823773348845,0.6796823773348845,0.6796823773348845,0.6796823773348845,0.6796823773348845,0.6546823773348844,0.6746823773348845,0.6646823773348844
32,0.750755021738442,0.750755021738442,0.720755021738442,0.720755021738442,0.720755021738442,0.710755021738442,0.710755021738442,0.715755021738442,0.725755021738442,0.725755021738442,0.735755021738442,0.715755021738442,0.735755021738442
33,0.6910600386498258,0.6910600386498258,0.6910600386498258,0.6910600386498258,0.7310600386498258,0.7310600386498258,0.7210600386498258,0.7210600386498258,0.7210600386498258,0.7310600386498258,0.7310600386498258,0.7310600386498258,0.7310600386498258
34,0.7239545596860497,0.7039545596860497,0.7339545596860497,0.7239545596860497,0.7239545596860497,0.7239545596860497,0.7239545596860497,0.7339545596860497,0.7339545596860497,0.7339545596860497,0.7339545596860497,0.7439545596860497,0.7439545596860497
35,0.7075546421953204,0.7075546421953204,0.7075546421953204,0.7075546421953204,0.7075546421953204,0.6975546421953204,0.7075546421953204,0.7175546421953204,0.7175546421953204,0.7175546421953204,0.7275546421953204,0.7275546421953204,0.7475546421953204
36,0.7636903603646548,0.7636903603646548,0.7636903603646548,0.7636903603646548,0.7736903603646548,0.7736903603646548,0.7736903603646548,0.7736903603646548,0.7836903603646548,0.7836903603646548,0.8036903603646548,0.7986903603646548,0.7886903603646548
