rssi,hour,2_hour_interval,Pi_is_emergency,is_emergency,is_emergency_pred,Pi_is_emergency_2,is_emergency_2_pred
-76,12,12,0.010437726303721613,0,0,0.20972107801149048,0
-68,19,18,0.0001358174141305315,0,0,0.13590931091837818,0
-69,10,10,0.044811390166128305,0,0,0.22460261558880806,0
-72,22,22,1.1599407205364543e-05,0,0,0.0994542764095196,0
-79,23,22,7.218177768783293e-06,1,0,0.11318844616086077,0
-92,17,16,0.0003604722615526688,0,0,0.1957175776986586,0
-68,19,18,0.0001358174141305315,0,0,0.13590931091837818,0
-69,11,10,0.031759999723355366,0,0,0.23629682102467886,0
-74,14,14,0.002747257301942245,0,0,0.18013245363997812,0
-110,14,14,0.0015106582039233186,0,0,0.2478080559458841,0
-58,11,10,0.03790048874239965,0,0,0.21469140308175583,0
-79,10,10,0.038201954601730634,0,0,0.24480546749363372,0
-57,1,0,0.9749568001104527,1,1,0.38309184306077926,0
-75,17,16,0.0004783288160552677,0,0,0.16734228927195924,0
-52,14,14,0.003957552069303556,0,0,0.14641255848181842,0
-84,17,16,0.00041180121265008563,0,0,0.18193341443476885,0
-55,9,8,0.14083730330327368,0,0,0.23788719924740037,0
-82,4,4,0.7009276862721961,1,1,0.355776648774529,0
-75,14,14,0.002702024456713746,0,0,0.18180035798252314,0
-87,15,14,0.0015489314795710154,0,0,0.2136257860291687,0
-64,10,10,0.04851223508051829,0,0,0.2149556135342593,0
-84,22,22,9.49903748506389e-06,0,0,0.11221975781535033,0
-109,21,20,1.7340379943749873e-05,0,0,0.1744160495277048,0
-80,7,6,0.2997115488349216,0,0,0.3281349126629651,0
-87,17,16,0.00039174824285350383,0,0,0.18701200566547083,0
-56,12,12,0.01450153262927343,0,0,0.1748451343174485,0
-90,10,10,0.03201424851055692,0,0,0.2684056243981156,0
-77,10,10,0.03944425741187346,0,0,0.2406685343738217,0
-80,12,12,0.009771899374946692,0,0,0.21727885668100078,0
-61,5,4,0.6991983238237539,1,1,0.31775548528115294,0
-72,15,14,0.0019874116048324186,0,0,0.1866381813170506,0
-70,15,14,0.002054556644024482,0,0,0.1832456964796009,0
-63,16,16,0.0008350845025685061,0,0,0.14117419561755065,0
-78,18,18,0.00016445506091231166,0,0,0.14147279736244112,0
-90,19,18,9.417136221292285e-05,0,0,0.1676854330751388,0
-42,11,10,0.04890195762407107,0,0,0.18589226055533714,0
-52,14,14,0.003957552069303556,0,0,0.14641255848181842,0
-92,11,10,0.021877922460139497,0,0,0.2861272500544384,0
-52,20,20,6.405254429788235e-05,0,0,0.09431687975567626,0
-86,20,20,3.636943961722037e-05,0,0,0.13245524325961325,0
-99,20,20,2.9292255846964457e-05,0,0,0.15018747934748936,0
-109,11,10,0.01657480576501215,0,0,0.3267404972455123,0
-58,5,4,0.7095963977328329,1,1,0.3104823179296926,0
-67,14,14,0.0030857462799104445,0,0,0.168790664371816,0
